"year","CU","spawners","recruits"
1973,"3 - Upper Knight",34237.6835604366,4600.40326969314
1974,"3 - Upper Knight",9185.71997962933,9094.50675640134
1975,"3 - Upper Knight",7775,2421.55331333451
1976,"3 - Upper Knight",20600,4598.33740505214
1977,"3 - Upper Knight",1180,2375.6626585103
1978,"3 - Upper Knight",8895.48395080496,4735.1160682129
1979,"3 - Upper Knight",1953.55587423385,1997.61491050246
1980,"3 - Upper Knight",5463.10427893994,2518.54885025342
1981,"3 - Upper Knight",444.774197540248,3073.76278153897
1982,"3 - Upper Knight",5582.14535212482,5650.00084615168
1983,"3 - Upper Knight",1037.80646092725,3836.02702929051
1984,"3 - Upper Knight",5106.17602412692,3484.85010347525
1985,"3 - Upper Knight",15.4566200998445,1790.02019934488
1986,"3 - Upper Knight",5890.04414542999,4893.88954292861
1987,"3 - Upper Knight",3435.85908483416,2096.70291425759
1988,"3 - Upper Knight",2945.022072715,1041.77624583125
1989,"3 - Upper Knight",2005.85196598602,907.272088671284
1990,"3 - Upper Knight",2699.60356665541,233.762248752092
1991,"3 - Upper Knight",4309.84270969517,410.542440282216
1992,"3 - Upper Knight",148.258065846749,2156.22410506577
1993,"3 - Upper Knight",1114.90065516755,3295.22401347972
1994,"3 - Upper Knight",148.258065846749,12905.0340522007
1995,"3 - Upper Knight",237.212905354799,2183.78122502825
1996,"3 - Upper Knight",2949.54875159111,3381.42612157106
1997,"3 - Upper Knight",2223.87098770124,1255.60212915443
1998,"3 - Upper Knight",14148.2672237553,3154.05810497066
1999,"3 - Upper Knight",131.949678603607,10112.432990099
2000,"3 - Upper Knight",3716.82971077801,7813.81170689771
2001,"3 - Upper Knight",515.938069146688,5455.73144808054
2002,"3 - Upper Knight",3706.45164616873,3916.24293670014
2003,"3 - Upper Knight",7578.95232608583,6383.52236529521
2004,"3 - Upper Knight",11298.9996300387,2789.50712131955
2005,"3 - Upper Knight",4924.56575204468,8091.39443840507
2006,"3 - Upper Knight",3146.70991924978,1859.52086653962
2007,"3 - Upper Knight",7103.49627278542,NA
2008,"3 - Upper Knight",5597.81563505881,NA
2009,"3 - Upper Knight",7331.29472244851,NA
2010,"3 - Upper Knight",3258.32626883726,NA
2011,"3 - Upper Knight",5627.38886078775,NA
2012,"3 - Upper Knight",11190.5736968536,NA
2013,"3 - Upper Knight",11234.8910455729,NA
1953,"4 - Loughborough",26668.8757282879,NA
1954,"4 - Loughborough",33390.8458125845,NA
1955,"4 - Loughborough",10655.2243509427,45446.1828799147
1956,"4 - Loughborough",14986.0483104296,19494.984075137
1957,"4 - Loughborough",56772.5681240807,32748.1219317257
1958,"4 - Loughborough",38391.5661408062,8267.54533265466
1959,"4 - Loughborough",23926.820331525,71620.3207668833
1960,"4 - Loughborough",8612.66247239352,124261.417874861
1961,"4 - Loughborough",24605.9827733188,32778.2051846912
1962,"4 - Loughborough",20672.9275487185,30830.7641812358
1963,"4 - Loughborough",64797.2521742853,33511.0601359381
1964,"4 - Loughborough",114419.423359902,147653.31078314
1965,"4 - Loughborough",5534.03659795934,38358.9168695784
1966,"4 - Loughborough",32350.5149147227,213108.571644946
1967,"4 - Loughborough",68830.7723265306,31577.2101117247
1968,"4 - Loughborough",93211.045366681,152276.081449901
1969,"4 - Loughborough",24073.0270860202,185592.030970217
1970,"4 - Loughborough",157852.31229401,26150.3957864275
1971,"4 - Loughborough",20036.4044678636,19412.3117937038
1972,"4 - Loughborough",83621.8981119883,36882.4122060604
1973,"4 - Loughborough",131865.737287106,32257.414808098
1974,"4 - Loughborough",32442.8859681328,36767.2930930876
1975,"4 - Loughborough",21070.1530137252,11086.3632246443
1976,"4 - Loughborough",16598.3390833561,22339.2286954817
1977,"4 - Loughborough",34840.4581990128,31044.3394364753
1978,"4 - Loughborough",20761.3529311234,62773.2865835353
1979,"4 - Loughborough",13246.5353224285,25832.9157154873
1980,"4 - Loughborough",17322.9890103056,15210.4671227586
1981,"4 - Loughborough",22835.7388881353,49721.516804315
